endpoint_index,port,location,connector,connector_pin,module_net,bank,io_type,source
1,cbus_ab[0],C20,C2399,4,BANK2_C20_IOR47B,2,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
2,cbus_ab[1],A21,C2399,5,BANK2_A21_IOR44B,2,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
3,cbus_ab[2],D20,C2399,6,BANK2_D20_IOR47A,2,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
4,cbus_ab[3],B21,C2399,7,BANK2_B21_IOR44A,2,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
5,cbus_ab[4],D19,C2399,10,BANK2_D19_IOR29B,2,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
6,cbus_ab[5],A20,C2399,11,BANK2_A20_IOR40B,2,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
7,cbus_ab[6],E19,C2399,12,BANK2_E19_IOR29A,2,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
8,cbus_ab[7],B20,C2399,13,BANK2_B20_IOR40A,2,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
9,cbus_ab[8],C19,C2399,16,BANK2_C19_IOR31B,2,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
10,cbus_ab[9],A19,C2399,17,BANK2_A19_IOR38B,2,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
11,cbus_ab[10],C18,C2399,18,BANK2_C18_IOR31A,2,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
12,cbus_ab[11],A18,C2399,19,BANK2_A18_IOR38A,2,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
13,cbus_ab[12],E17,C2399,22,BANK2_E17_IOR13B,2,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
14,cbus_ab[13],B18,C2399,23,BANK2_B18_IOR24B,2,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
15,cbus_ab[14],F16,C2399,24,BANK2_F16_IOR13A,2,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
16,cbus_ab[15],B17,C2399,25,BANK2_B17_IOR24A,2,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
17,cbus_ab[16],D16,C2399,28,BANK2_D16_IOR6B,2,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
18,cbus_ab[17],C17,C2399,29,BANK2_C17_IOR26B,2,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
19,cbus_ab[18],E16,C2399,30,BANK2_E16_IOR6A,2,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
20,cbus_ab[19],D17,C2399,31,BANK2_D17_IOR26A,2,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
21,cbus_ab[20],D15,C2399,34,BANK2_D15_IOR4B,2,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
22,cbus_ab[21],A16,C2399,35,BANK2_A16_IOR20B,2,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
23,cbus_ab[22],D14,C2399,36,BANK2_D14_IOR4A,2,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
24,cbus_ab[23],A15,C2399,37,BANK2_A15_IOR20A,2,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
25,cbus_db[0],J16,C2399,48,BANK3_J16_IOR109A,3,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
26,cbus_db[1],J17,C2399,50,BANK3_J17_IOR58B,3,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
27,cbus_db[2],K17,C2399,52,BANK3_K17_IOR58A,3,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
28,cbus_db[3],H15,C2399,54,BANK3_H15_IOR101B,3,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
29,cbus_db[4],J15,C2399,56,BANK3_J15_IOR101A,3,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
30,cbus_db[5],H14,C2399,58,BANK3_H14_IOR103B,3,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
31,cbus_db[6],J14,C2399,60,BANK3_J14_IOR103A,3,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
32,cbus_db[7],G16,C2399,62,BANK3_G16_IOR105B,3,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
33,cbus_db[8],G15,C2399,64,BANK3_G15_IOR105A,3,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
34,cbus_db[9],G13,C2399,66,BANK3_G13_IOR98B,3,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
35,cbus_db[10],H13,C2399,68,BANK3_H13_IOR98A,3,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
36,cbus_db[11],M17,C2400,10,BANK3_M17_IOR73A,3,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
37,cbus_db[12],M16,C2400,16,BANK3_M16_IOR67B,3,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
38,cbus_db[13],M15,C2400,18,BANK3_M15_IOR67A,3,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
39,cbus_db[14],M13,C2400,32,BANK3_M13_IOR56A,3,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
40,cbus_db[15],L13,C2400,34,BANK3_L13_IOR56B,3,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
41,cbus_ior_n,W22,C2400,2,BANK4_W22_IOB124B,4,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
42,cbus_iow_n,Y22,C2400,3,BANK4_Y22_IOB131B,4,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
