endpoint_index,port,location,connector,connector_pin,module_net,bank,io_type,source
1,cbus_ab[0],K16,SO-DIMM-204,56,LVDS_TX5_N,0,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
2,cbus_ab[1],J15,SO-DIMM-204,58,LVDS_TX5_P,0,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
3,cbus_ab[2],H16,SO-DIMM-204,62,LVDS_TX4_N,0,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
4,cbus_ab[3],H14,SO-DIMM-204,64,LVDS_TX4_P,0,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
5,cbus_ab[4],G16,SO-DIMM-204,68,LVDS_TX3_P,0,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
6,cbus_ab[5],H15,SO-DIMM-204,70,LVDS_TX3_N,0,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
7,cbus_ab[6],F13,SO-DIMM-204,77,LVDS_IOT8_P,0,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
8,cbus_ab[7],G12,SO-DIMM-204,79,LVDS_IOT8_N,0,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
9,cbus_ab[8],J16,SO-DIMM-204,83,LVDS_IOT22_P,0,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
10,cbus_ab[9],H13,SO-DIMM-204,84,LVDS_IOT18_P,0,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
11,cbus_ab[10],J14,SO-DIMM-204,85,LVDS_IOT22_N,0,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
12,cbus_ab[11],J12,SO-DIMM-204,86,LVDS_IOT18_N,0,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
13,cbus_ab[12],G14,SO-DIMM-204,89,G14_IOT13B,0,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
14,cbus_ab[13],H12,SO-DIMM-204,90,LVDS_IOT14_N,0,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
15,cbus_ab[14],G15,SO-DIMM-204,91,G15_IOT13A,0,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
16,cbus_ab[15],G11,SO-DIMM-204,92,LVDS_IOT14_P,0,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
17,cbus_ab[16],F14,SO-DIMM-204,95,F14_IOT9A,0,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
18,cbus_ab[17],F16,SO-DIMM-204,97,F16_IOT9B,0,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
19,cbus_ab[18],E16,SO-DIMM-204,130,LVDS_TX2_P,0,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
20,cbus_ab[19],F15,SO-DIMM-204,132,LVDS_TX2_N,0,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
21,cbus_ab[20],D16,SO-DIMM-204,140,LVDS_TX1_P,0,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
22,cbus_ab[21],E14,SO-DIMM-204,142,LVDS_TX1_N,0,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
23,cbus_ab[22],T13,SO-DIMM-204,1,T13_IOR8B_FPGA_RXO,2,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
24,cbus_ab[23],M11,SO-DIMM-204,11,M11_IOR27B_FPGA_TXO,2,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
25,cbus_db[0],A15,SO-DIMM-204,107,A15_IOL2B,7,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
26,cbus_db[1],B14,SO-DIMM-204,109,B14_IOL2A,7,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
27,cbus_db[2],A14,SO-DIMM-204,113,A14_IOL8B,7,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
28,cbus_db[3],B13,SO-DIMM-204,115,B13_IOL8A,7,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
29,cbus_db[4],C12,SO-DIMM-204,119,C12_IOL7A,7,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
30,cbus_db[5],B12,SO-DIMM-204,121,B12_IOL7B,7,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
31,cbus_db[6],A12,SO-DIMM-204,123,A12_IOL13B,7,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
