endpoint_index,endpoint,endpoint_kind,common_port,translator_group,fpga_pin_direction,connector,connector_pin,module_net,bank,io_voltage,introduced_by,board,notes
1,cbus_ab_00,cbus_signal,cbus_ab_i/o/oe_req[0],addr_lo,bidir,C2399,4,BANK2_C20_IOR47B,2,3.3V,io8_sync_min,tang_mega138k,
2,cbus_ab_01,cbus_signal,cbus_ab_i/o/oe_req[1],addr_lo,bidir,C2399,5,BANK2_A21_IOR44B,2,3.3V,io8_sync_min,tang_mega138k,
3,cbus_ab_02,cbus_signal,cbus_ab_i/o/oe_req[2],addr_lo,bidir,C2399,6,BANK2_D20_IOR47A,2,3.3V,io8_sync_min,tang_mega138k,
4,cbus_ab_03,cbus_signal,cbus_ab_i/o/oe_req[3],addr_lo,bidir,C2399,7,BANK2_B21_IOR44A,2,3.3V,io8_sync_min,tang_mega138k,
5,cbus_ab_04,cbus_signal,cbus_ab_i/o/oe_req[4],addr_lo,bidir,C2399,10,BANK2_D19_IOR29B,2,3.3V,io8_sync_min,tang_mega138k,
6,cbus_ab_05,cbus_signal,cbus_ab_i/o/oe_req[5],addr_lo,bidir,C2399,11,BANK2_A20_IOR40B,2,3.3V,io8_sync_min,tang_mega138k,
7,cbus_ab_06,cbus_signal,cbus_ab_i/o/oe_req[6],addr_lo,bidir,C2399,12,BANK2_E19_IOR29A,2,3.3V,io8_sync_min,tang_mega138k,
8,cbus_ab_07,cbus_signal,cbus_ab_i/o/oe_req[7],addr_lo,bidir,C2399,13,BANK2_B20_IOR40A,2,3.3V,io8_sync_min,tang_mega138k,
9,cbus_ab_08,cbus_signal,cbus_ab_i/o/oe_req[8],addr_lo,bidir,C2399,16,BANK2_C19_IOR31B,2,3.3V,io8_sync_min,tang_mega138k,
10,cbus_ab_09,cbus_signal,cbus_ab_i/o/oe_req[9],addr_lo,bidir,C2399,17,BANK2_A19_IOR38B,2,3.3V,io8_sync_min,tang_mega138k,
11,cbus_ab_10,cbus_signal,cbus_ab_i/o/oe_req[10],addr_lo,bidir,C2399,18,BANK2_C18_IOR31A,2,3.3V,io8_sync_min,tang_mega138k,
12,cbus_ab_11,cbus_signal,cbus_ab_i/o/oe_req[11],addr_lo,bidir,C2399,19,BANK2_A18_IOR38A,2,3.3V,io8_sync_min,tang_mega138k,
13,cbus_ab_12,cbus_signal,cbus_ab_i/o/oe_req[12],addr_lo,bidir,C2399,22,BANK2_E17_IOR13B,2,3.3V,io8_sync_min,tang_mega138k,
14,cbus_ab_13,cbus_signal,cbus_ab_i/o/oe_req[13],addr_lo,bidir,C2399,23,BANK2_B18_IOR24B,2,3.3V,io8_sync_min,tang_mega138k,
15,cbus_ab_14,cbus_signal,cbus_ab_i/o/oe_req[14],addr_lo,bidir,C2399,24,BANK2_F16_IOR13A,2,3.3V,io8_sync_min,tang_mega138k,
16,cbus_ab_15,cbus_signal,cbus_ab_i/o/oe_req[15],addr_lo,bidir,C2399,25,BANK2_B17_IOR24A,2,3.3V,io8_sync_min,tang_mega138k,
