endpoint_index,endpoint,endpoint_kind,cbus_pin_or_selector,signal_8086,signal_286_plus,common_port,translator_group,fpga_pin_direction,electrical_path,introduced_by,notes
1,cbus_ab_00,cbus_signal,A4,AB00,AB00,cbus_ab_i/o/oe_req[0],addr_lo,bidir,lvc_bidir,io8_sync_min,
2,cbus_ab_01,cbus_signal,A5,AB01,AB01,cbus_ab_i/o/oe_req[1],addr_lo,bidir,lvc_bidir,io8_sync_min,
3,cbus_ab_02,cbus_signal,A6,AB02,AB02,cbus_ab_i/o/oe_req[2],addr_lo,bidir,lvc_bidir,io8_sync_min,
4,cbus_ab_03,cbus_signal,A7,AB03,AB03,cbus_ab_i/o/oe_req[3],addr_lo,bidir,lvc_bidir,io8_sync_min,
5,cbus_ab_04,cbus_signal,A8,AB04,AB04,cbus_ab_i/o/oe_req[4],addr_lo,bidir,lvc_bidir,io8_sync_min,
6,cbus_ab_05,cbus_signal,A9,AB05,AB05,cbus_ab_i/o/oe_req[5],addr_lo,bidir,lvc_bidir,io8_sync_min,
7,cbus_ab_06,cbus_signal,A10,AB06,AB06,cbus_ab_i/o/oe_req[6],addr_lo,bidir,lvc_bidir,io8_sync_min,
8,cbus_ab_07,cbus_signal,A12,AB07,AB07,cbus_ab_i/o/oe_req[7],addr_lo,bidir,lvc_bidir,io8_sync_min,
9,cbus_ab_08,cbus_signal,A13,AB08,AB08,cbus_ab_i/o/oe_req[8],addr_lo,bidir,lvc_bidir,io8_sync_min,
10,cbus_ab_09,cbus_signal,A14,AB09,AB09,cbus_ab_i/o/oe_req[9],addr_lo,bidir,lvc_bidir,io8_sync_min,
11,cbus_ab_10,cbus_signal,A15,AB10,AB10,cbus_ab_i/o/oe_req[10],addr_lo,bidir,lvc_bidir,io8_sync_min,
12,cbus_ab_11,cbus_signal,A16,AB11,AB11,cbus_ab_i/o/oe_req[11],addr_lo,bidir,lvc_bidir,io8_sync_min,
13,cbus_ab_12,cbus_signal,A17,AB12,AB12,cbus_ab_i/o/oe_req[12],addr_lo,bidir,lvc_bidir,io8_sync_min,
14,cbus_ab_13,cbus_signal,A18,AB13,AB13,cbus_ab_i/o/oe_req[13],addr_lo,bidir,lvc_bidir,io8_sync_min,
15,cbus_ab_14,cbus_signal,A19,AB14,AB14,cbus_ab_i/o/oe_req[14],addr_lo,bidir,lvc_bidir,io8_sync_min,
