endpoint_index,endpoint,endpoint_kind,common_port,translator_group,fpga_pin_direction,connector,connector_pin,module_net,bank,io_voltage,introduced_by,board,notes
1,cbus_ab_00,cbus_signal,cbus_ab_i/o/oe_req[0],addr_lo,bidir,SO-DIMM-204,56,LVDS_TX5_N,0,3.3V,io8_sync_min,tang_primer20k,
2,cbus_ab_01,cbus_signal,cbus_ab_i/o/oe_req[1],addr_lo,bidir,SO-DIMM-204,58,LVDS_TX5_P,0,3.3V,io8_sync_min,tang_primer20k,
3,cbus_ab_02,cbus_signal,cbus_ab_i/o/oe_req[2],addr_lo,bidir,SO-DIMM-204,62,LVDS_TX4_N,0,3.3V,io8_sync_min,tang_primer20k,
4,cbus_ab_03,cbus_signal,cbus_ab_i/o/oe_req[3],addr_lo,bidir,SO-DIMM-204,64,LVDS_TX4_P,0,3.3V,io8_sync_min,tang_primer20k,
5,cbus_ab_04,cbus_signal,cbus_ab_i/o/oe_req[4],addr_lo,bidir,SO-DIMM-204,68,LVDS_TX3_P,0,3.3V,io8_sync_min,tang_primer20k,
6,cbus_ab_05,cbus_signal,cbus_ab_i/o/oe_req[5],addr_lo,bidir,SO-DIMM-204,70,LVDS_TX3_N,0,3.3V,io8_sync_min,tang_primer20k,
7,cbus_ab_06,cbus_signal,cbus_ab_i/o/oe_req[6],addr_lo,bidir,SO-DIMM-204,77,LVDS_IOT8_P,0,3.3V,io8_sync_min,tang_primer20k,
8,cbus_ab_07,cbus_signal,cbus_ab_i/o/oe_req[7],addr_lo,bidir,SO-DIMM-204,79,LVDS_IOT8_N,0,3.3V,io8_sync_min,tang_primer20k,
9,cbus_ab_08,cbus_signal,cbus_ab_i/o/oe_req[8],addr_lo,bidir,SO-DIMM-204,83,LVDS_IOT22_P,0,3.3V,io8_sync_min,tang_primer20k,
10,cbus_ab_09,cbus_signal,cbus_ab_i/o/oe_req[9],addr_lo,bidir,SO-DIMM-204,84,LVDS_IOT18_P,0,3.3V,io8_sync_min,tang_primer20k,
11,cbus_ab_10,cbus_signal,cbus_ab_i/o/oe_req[10],addr_lo,bidir,SO-DIMM-204,85,LVDS_IOT22_N,0,3.3V,io8_sync_min,tang_primer20k,
