pin,signal_8086,signal_286_plus,host_dir_8086,host_dir_286_plus,polarity,card_drive_type,role,rtl_binding,translator_group,source,status,notes
A1,GND,GND,power,power,n/a,n/a,ground,,power,S001_p273_p276,confirmed,
A2,V1,V1,reserved,reserved,unknown,unknown,reserved,,none,S001_p273_p276,unknown,機能記載なし
A3,V2,V2,reserved,reserved,unknown,unknown,reserved,,none,S001_p273_p276,unknown,機能記載なし
A4,AB00,AB00,bidir,bidir,high,tri_state,address,cbus_ab_i[0]|cbus_ab_o[0]|cbus_ab_oe[0],addr_lo,S001_p273_p276,confirmed,
A5,AB01,AB01,bidir,bidir,high,tri_state,address,cbus_ab_i[1]|cbus_ab_o[1]|cbus_ab_oe[1],addr_lo,S001_p273_p276,confirmed,
A6,AB02,AB02,bidir,bidir,high,tri_state,address,cbus_ab_i[2]|cbus_ab_o[2]|cbus_ab_oe[2],addr_lo,S001_p273_p276,confirmed,
A7,AB03,AB03,bidir,bidir,high,tri_state,address,cbus_ab_i[3]|cbus_ab_o[3]|cbus_ab_oe[3],addr_lo,S001_p273_p276,confirmed,
A8,AB04,AB04,bidir,bidir,high,tri_state,address,cbus_ab_i[4]|cbus_ab_o[4]|cbus_ab_oe[4],addr_lo,S001_p273_p276,confirmed,
A9,AB05,AB05,bidir,bidir,high,tri_state,address,cbus_ab_i[5]|cbus_ab_o[5]|cbus_ab_oe[5],addr_lo,S001_p273_p276,confirmed,
A10,AB06,AB06,bidir,bidir,high,tri_state,address,cbus_ab_i[6]|cbus_ab_o[6]|cbus_ab_oe[6],addr_lo,S001_p273_p276,confirmed,
A11,GND,GND,power,power,n/a,n/a,ground,,power,S001_p273_p276,confirmed,
A12,AB07,AB07,bidir,bidir,high,tri_state,address,cbus_ab_i[7]|cbus_ab_o[7]|cbus_ab_oe[7],addr_lo,S001_p273_p276,confirmed,
A13,AB08,AB08,bidir,bidir,high,tri_state,address,cbus_ab_i[8]|cbus_ab_o[8]|cbus_ab_oe[8],addr_lo,S001_p273_p276,confirmed,
A14,AB09,AB09,bidir,bidir,high,tri_state,address,cbus_ab_i[9]|cbus_ab_o[9]|cbus_ab_oe[9],addr_lo,S001_p273_p276,confirmed,
A15,AB10,AB10,bidir,bidir,high,tri_state,address,cbus_ab_i[10]|cbus_ab_o[10]|cbus_ab_oe[10],addr_lo,S001_p273_p276,confirmed,
A16,AB11,AB11,bidir,bidir,high,tri_state,address,cbus_ab_i[11]|cbus_ab_o[11]|cbus_ab_oe[11],addr_lo,S001_p273_p276,confirmed,
A17,AB12,AB12,bidir,bidir,high,tri_state,address,cbus_ab_i[12]|cbus_ab_o[12]|cbus_ab_oe[12],addr_lo,S001_p273_p276,confirmed,
A18,AB13,AB13,bidir,bidir,high,tri_state,address,cbus_ab_i[13]|cbus_ab_o[13]|cbus_ab_oe[13],addr_lo,S001_p273_p276,confirmed,
A19,AB14,AB14,bidir,bidir,high,tri_state,address,cbus_ab_i[14]|cbus_ab_o[14]|cbus_ab_oe[14],addr_lo,S001_p273_p276,confirmed,
A20,AB15,AB15,bidir,bidir,high,tri_state,address,cbus_ab_i[15]|cbus_ab_o[15]|cbus_ab_oe[15],addr_lo,S001_p274_p276,confirmed,
A21,GND,GND,power,power,n/a,n/a,ground,,power,S001_p274_p276,confirmed,
A22,AB16,AB16,bidir,bidir,high,tri_state,address,cbus_ab_i[16]|cbus_ab_o[16]|cbus_ab_oe[16],addr_hi,S001_p274_p276,confirmed,
A23,AB17,AB17,bidir,bidir,high,tri_state,address,cbus_ab_i[17]|cbus_ab_o[17]|cbus_ab_oe[17],addr_hi,S001_p274_p276,confirmed,
A24,AB18,AB18,bidir,bidir,high,tri_state,address,cbus_ab_i[18]|cbus_ab_o[18]|cbus_ab_oe[18],addr_hi,S001_p274_p276,confirmed,
A25,AB19,AB19,bidir,bidir,high,tri_state,address,cbus_ab_i[19]|cbus_ab_o[19]|cbus_ab_oe[19],addr_hi,S001_p274_p276,confirmed,286以降機の旧ROM互換切替対象
A26,AB20,AB20,bidir,bidir,high,tri_state,address,cbus_ab_i[20]|cbus_ab_o[20]|cbus_ab_oe[20],addr_hi,S001_p274_p276_p279,confirmed,古いROMボードは通常未デコード
