header,header_pin,kind,fpga_package_pin,bank,rail,schematic_function,shared_onboard_load,clean_unshared_gpio,source,status,notes
J5,1,power,,,5V,+5V,power,false,S009,confirmed,
J5,2,ground,,,GND,GND,ground,false,S009,confirmed,
J5,3,gpio,76,1,3V3,SPL_MOSI,onboard_debugger,false,S009,confirmed,3850-3921ではHSPI系名称
J5,4,gpio,80,0,3V3,SDIO_D2,TF_card,false,S009,confirmed,
J5,5,gpio,42,4,3V3,LCD_R3,LCD_connector_and_display_path,false,S009,confirmed,
J5,6,gpio,41,4,3V3,LCD_R4,LCD_connector_and_display_path,false,S009,confirmed,
J5,7,gpio,56,3,3V3,I2S_BCLK,audio_amplifier,false,S009,confirmed,
J5,8,gpio,54,3,3V3,I2S_DIN,audio_amplifier,false,S009,confirmed,
J5,9,gpio,51,3,3V3,PA_SD_EN,audio_amplifier,false,S009,confirmed,
J5,10,gpio,48,3,3V3,LCD_DE,LCD_connector_and_display_path,false,S009,confirmed,
J5,11,gpio,55,3,3V3,I2S_LRCK,audio_amplifier,false,S009,confirmed,
J5,12,gpio,49,3,3V3,LCD_BL,LCD_backlight_path,false,S009,confirmed,
J5,13,gpio,86,0,3V3,SPL_DIR,onboard_debugger,false,S009,confirmed,3850-3921ではHSPI系名称
J5,14,gpio,79,0,3V3,WS2812,onboard_RGB_LED,false,S009,confirmed,
J5,15,ground,,,GND,GND,ground,false,S009,confirmed,
J5,16,power,,,3V3,+3V3,power,false,S009,confirmed,
J5,17,gpio,72,1,3V3,HSPI_D1,onboard_debugger_or_header,false,S009,confirmed,版により名称差
J5,18,gpio,71,1,3V3,HSPI_D0,onboard_debugger_or_header,false,S009,confirmed,版により名称差
J5,19,gpio,53,3,3V3,DCD_CLK,HDMI_display_path,false,S009,confirmed,
J5,20,gpio,52,3,3V3,DCD_DAT,HDMI_display_path,false,S009,confirmed,
J6,1,gpio,73,1,3V3,HSPI_D2,onboard_debugger_or_header,false,S009,confirmed,版により名称差
J6,2,gpio,74,1,3V3,HSPI_D3,onboard_debugger_or_header,false,S009,confirmed,版により名称差
J6,3,gpio,75,1,3V3,SPL_MISO,onboard_debugger,false,S009,confirmed,3850-3921ではHSPI系名称
J6,4,gpio,85,0,3V3,SDIO_D1,TF_card,false,S009,confirmed,版によりSDIO名称差を再照合
J6,5,gpio,77,1,3V3,LCD_CK,LCD_connector_and_display_path,false,S009,confirmed,
J6,6,gpio,15,6,3V3,SYS_LED0,onboard_LED,false,S009,confirmed,
J6,7,gpio,16,6,3V3,SYS_LED1,onboard_LED,false,S009,confirmed,
J6,8,gpio,27,5,3V3,LCD_B7,LCD_connector_and_display_path,false,S009,confirmed,
J6,9,gpio,28,5,3V3,LCD_B6,LCD_connector_and_display_path,false,S009,confirmed,
J6,10,gpio,25,5,3V3,LCD_HS,LCD_connector_and_display_path,false,S009,confirmed,
J6,11,gpio,26,5,3V3,LCD_VS,LCD_connector_and_display_path,false,S009,confirmed,
J6,12,gpio,29,5,3V3,LCD_B5,LCD_connector_and_display_path,false,S009,confirmed,
J6,13,gpio,30,5,3V3,LCD_B4,LCD_connector_and_display_path,false,S009,confirmed,
J6,14,gpio,31,5,3V3,LCD_B3,LCD_connector_and_display_path,false,S009,confirmed,
J6,15,gpio,17,6,3V3,SYS_LED2,onboard_LED_and_joystick,false,S009,confirmed,
J6,16,gpio,20,6,3V3,SYS_LED5,onboard_LED_and_joystick,false,S009,confirmed,
J6,17,gpio,19,6,3V3,SYS_LED4,onboard_LED_and_joystick,false,S009,confirmed,
J6,18,gpio,18,6,3V3,SYS_LED3,onboard_LED_and_joystick,false,S009,confirmed,
J6,19,power,,,3V3,+3V3,power,false,S009,confirmed,
J6,20,ground,,,GND,GND,ground,false,S009,confirmed,
