connector,pin,net,kind,bank,io_voltage,cbus_assignable,source
C2399,1,VCCIO2,power,,,no,tang_mega_138k_30353_Schematics.pdf sheet 6
C2399,2,GND,ground,,,no,tang_mega_138k_30353_Schematics.pdf sheet 6
C2399,3,GND,ground,,,no,tang_mega_138k_30353_Schematics.pdf sheet 6
C2399,4,BANK2_C20_IOR47B,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
C2399,5,BANK2_A21_IOR44B,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
C2399,6,BANK2_D20_IOR47A,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
C2399,7,BANK2_B21_IOR44A,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
C2399,8,GND,ground,,,no,tang_mega_138k_30353_Schematics.pdf sheet 6
C2399,9,GND,ground,,,no,tang_mega_138k_30353_Schematics.pdf sheet 6
C2399,10,BANK2_D19_IOR29B,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
C2399,11,BANK2_A20_IOR40B,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
C2399,12,BANK2_E19_IOR29A,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
C2399,13,BANK2_B20_IOR40A,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
C2399,14,GND,ground,,,no,tang_mega_138k_30353_Schematics.pdf sheet 6
C2399,15,GND,ground,,,no,tang_mega_138k_30353_Schematics.pdf sheet 6
C2399,16,BANK2_C19_IOR31B,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
C2399,17,BANK2_A19_IOR38B,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
C2399,18,BANK2_C18_IOR31A,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
C2399,19,BANK2_A18_IOR38A,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
C2399,20,GND,ground,,,no,tang_mega_138k_30353_Schematics.pdf sheet 6
C2399,21,GND,ground,,,no,tang_mega_138k_30353_Schematics.pdf sheet 6
C2399,22,BANK2_E17_IOR13B,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
C2399,23,BANK2_B18_IOR24B,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
C2399,24,BANK2_F16_IOR13A,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
C2399,25,BANK2_B17_IOR24A,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
C2399,26,GND,ground,,,no,tang_mega_138k_30353_Schematics.pdf sheet 6
C2399,27,GND,ground,,,no,tang_mega_138k_30353_Schematics.pdf sheet 6
C2399,28,BANK2_D16_IOR6B,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
