connector,pin,net,kind,bank,io_voltage,cbus_assignable,source
SO-DIMM-204,1,T13_IOR8B_FPGA_RXO,gpio_bidir_3v3,2,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,2,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,3,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,4,+5V,power,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,5,+5V,power,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,6,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,7,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,8,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,9,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,10,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,11,M11_IOR27B_FPGA_TXO,gpio_bidir_3v3,2,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,12,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,13,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,14,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,15,T10_IOR35B_FPGA_~{RST},reset,3,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,16,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,17,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,18,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,19,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,20,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,21,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,22,+3V3,power,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,23,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,24,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,25,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,26,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,27,LVDS_IOR53_N,gpio_bidir_3v3,3,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,28,LVDS_RX5_N,gpio_bidir_3v3,1,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,29,LVDS_IOR53_P,gpio_bidir_3v3,3,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,30,LVDS_RX5_P,gpio_bidir_3v3,1,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,31,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,32,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,33,LVDS_IOR29_P,gpio_bidir_3v3,3,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,34,LVDS_RX4_N,gpio_bidir_3v3,1,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,35,LVDS_IOR29_N,gpio_bidir_3v3,3,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,36,LVDS_RX4_P,gpio_bidir_3v3,1,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,37,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,38,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,39,LVDS_IOR42_N,gpio_bidir_3v3,3,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,40,LVDS_RX3_P,gpio_bidir_3v3,1,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,41,LVDS_IOR42_P,gpio_bidir_3v3,3,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,42,LVDS_RX3_N,gpio_bidir_3v3,1,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,43,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,44,LVDS_RX2_P,gpio_bidir_3v3,1,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,45,LVDS_IOR38_P,gpio_bidir_3v3,3,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,46,LVDS_RX2_N,gpio_bidir_3v3,1,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
