name,direction,range,group,required,notes
core_clk_i,input,scalar,control,yes,Core and AXI clock
core_rst_n_i,input,scalar,control,yes,Active-low coherent core reset
core_enable_i,input,scalar,control,yes,Execution enable changed only while idle
boot_addr_i,input,31:0,control,yes,Sampled for first fetch after reset
hart_id_i,input,31:0,control,yes,Initial SoC drives zero
irq_software_i,input,scalar,interrupt,yes,Synchronous active-high MSIP level
irq_timer_i,input,scalar,interrupt,yes,Synchronous active-high MTIP level
irq_external_i,input,scalar,interrupt,yes,Synchronous active-high MEIP level
core_sleep_o,output,scalar,status,yes,WFI-like observation only
core_halted_o,output,scalar,status,yes,Core not progressing instructions
core_trap_valid_o,output,scalar,status,yes,May tie low if diagnostic capability absent
core_trap_cause_o,output,31:0,status,yes,May tie zero if diagnostic capability absent
core_trap_pc_o,output,31:0,status,yes,May tie zero if diagnostic capability absent
m_axi_awid_o,output,AXI_ID_WIDTH-1:0,axi_aw,yes,AXI4 write ID
m_axi_awaddr_o,output,AXI_ADDR_WIDTH-1:0,axi_aw,yes,AXI4 byte address
m_axi_awlen_o,output,7:0,axi_aw,yes,INCR burst length minus one
m_axi_awsize_o,output,2:0,axi_aw,yes,One two or four byte beat
m_axi_awburst_o,output,1:0,axi_aw,yes,INCR only
m_axi_awlock_o,output,scalar,axi_aw,yes,Must remain zero in initial ABI
m_axi_awcache_o,output,3:0,axi_aw,yes,Memory attribute
m_axi_awprot_o,output,2:0,axi_aw,yes,Protection and data attribute
m_axi_awqos_o,output,3:0,axi_aw,yes,Quality of service
m_axi_awvalid_o,output,scalar,axi_aw,yes,Held with payload until ready
m_axi_awready_i,input,scalar,axi_aw,yes,Write-address acceptance
m_axi_wdata_o,output,AXI_DATA_WIDTH-1:0,axi_w,yes,Write data
m_axi_wstrb_o,output,(AXI_DATA_WIDTH/8)-1:0,axi_w,yes,Little-endian byte lanes
m_axi_wlast_o,output,scalar,axi_w,yes,Final write beat
m_axi_wvalid_o,output,scalar,axi_w,yes,Held with payload until ready
m_axi_wready_i,input,scalar,axi_w,yes,Write-data acceptance
m_axi_bid_i,input,AXI_ID_WIDTH-1:0,axi_b,yes,Write response ID
m_axi_bresp_i,input,1:0,axi_b,yes,OKAY EXOKAY SLVERR DECERR
m_axi_bvalid_i,input,scalar,axi_b,yes,Write response valid
m_axi_bready_o,output,scalar,axi_b,yes,Write response ready
m_axi_arid_o,output,AXI_ID_WIDTH-1:0,axi_ar,yes,AXI4 read ID
m_axi_araddr_o,output,AXI_ADDR_WIDTH-1:0,axi_ar,yes,AXI4 byte address
m_axi_arlen_o,output,7:0,axi_ar,yes,INCR burst length minus one
m_axi_arsize_o,output,2:0,axi_ar,yes,One two or four byte beat
m_axi_arburst_o,output,1:0,axi_ar,yes,INCR only
m_axi_arlock_o,output,scalar,axi_ar,yes,Must remain zero in initial ABI
m_axi_arcache_o,output,3:0,axi_ar,yes,Memory attribute
m_axi_arprot_o,output,2:0,axi_ar,yes,Instruction bit distinguishes fetch
m_axi_arqos_o,output,3:0,axi_ar,yes,Quality of service
m_axi_arvalid_o,output,scalar,axi_ar,yes,Held with payload until ready
m_axi_arready_i,input,scalar,axi_ar,yes,Read-address acceptance
m_axi_rid_i,input,AXI_ID_WIDTH-1:0,axi_r,yes,Read response ID
m_axi_rdata_i,input,AXI_DATA_WIDTH-1:0,axi_r,yes,Read data
m_axi_rresp_i,input,1:0,axi_r,yes,OKAY EXOKAY SLVERR DECERR
m_axi_rlast_i,input,scalar,axi_r,yes,Final read beat
m_axi_rvalid_i,input,scalar,axi_r,yes,Read response valid
m_axi_rready_o,output,scalar,axi_r,yes,Read response ready
